리뷰,rep,index,Processing
주말인데도 사람이 아주 많진 않았어요~,0,13,"['주말', '인데', '도', '사람', '아주', '많다', '않다']"
"한강수영장 중 가장 사람 적은곳
그만큼 시설 규모면에선 크지 않은

한강 남측 맞은편 워커힐호텔이 보이는 광나루한강공원내 한강수영장 입니다.",0,14,"['한강', '수영장', '중', '가장', '사람', '적다', '곳', '\r\n', '그만큼', '시설', '규모', '면', '에선', '크다', '않다', '\r\n\r\n', '한강', '남', '측', '맞은편', '워커힐', '호텔', '보이다', '광나루', '한강', '공', '원내', '한강', '수영장', '이다']"
주차장은 수영장 좌우에 위치하며 수영장과는 꽤 먼편이나 좌측 주차장이 조금 더 가깝습니다. (공원 차단기 바로 앞 주차장),1,14,"['주차장', '은', '수영장', '좌우', '위치', '하다', '수영장', '과는', '꽤', '멀다', '편이', '좌측', '주차장', '더', '가깝다', '공원', '차단기', '앞', '주차장']"
시운영으로 입장료 또한 저렴한 한강수영장입니다.,2,14,"['시', '운영', '입장료', '저렴하다', '한', '강수영', '장', '이다']"
"성인기준 5천원, 네이버예약시 인당 500원 할인(단, 당일구매사용불가), 5세미만 무료(증빙서류원본필히지참)

성인풀과 가족풀 모두 넓은 면적이며 유아풀에는 2개의 작은 슬라이드가 있습니다.",3,14,"['성인', '기준', '5천원', '네이버', '약시', '이다', '500원', '할인', '단', '당', '사용', '불가', '),', '세미', '만', '무료', '증빙', '서류', '원', '본', '필히', '지', '차다', '\r\n\r\n', '성인', '풀', '가족', '풀', '넓다', '면적', '이며', '유아', '풀', '에는', '개', '작다', '슬라이드']"
"단, 초등생 이상은 사용불가.",4,14,"['단', '초등생', '이상은', '사용', '불가']"
"성인풀은 스킨슈즈 포함 아쿠아슈즈는 신을 수 없고, 유일하게 일반모자가 아닌 수영모가 필수입니다.",5,14,"['성인', '풀', '은', '스킨', '슈즈', '포함', '아쿠아', '슈즈', '는', '신', '수', '없다', '유일하다', '반', '모자', '아니다', '수영모', '필수', '이다']"
팀당 파라솔 자리 하나씩 제공되며 텐트를 가져올 경우 별도 구역(유아풀을 둘러싸는)에만 설치가능합니다.,6,14,"['팀', '당', '파라솔', '자리', '씩', '제공', '되다', '텐트', '가져오다', '경우', '별도', '구역', '유아', '풀', '둘러싸다', '에만', '설치', '가능하다']"
선베드는 별도비용발생.,7,14,"['선', '베드', '는', '별도', '비용', '발생']"
"내부상점물가는 미쳤으니 수영모 등 물놀이물품은 반드시 챙겨가길 바라며, 매점 또한 비싼편입니다.",8,14,"['내부', '상점', '물가', '는', '미치다', '수영모', '물놀이', '물품', '은', '챙기다', '바라다', '매점', '비싸다', '편입', '니', '다']"
외부음식은 허용하나 주류반입은 엄격히 체크하는 편입니다.,9,14,"['외부', '음식', '은', '허용', '주류', '반입', '은', '엄격하다', '체크', '하다', '편입', '니', '다']"
타 한강수영장 대비 외곽인 편에 사람이 적은 편이라는것이 가장 큰 장점일듯 합니다.,10,14,"['타', '한강', '수영장', '대비', '외곽', '인', '편', '사람', '적다', '편이', '라는', '가장', '크다', '장점', '이다', '하다']"
산책하기 너무 좋아요,0,15,"['산책', '하다', '너무', '좋다']"
"날씨도 폰근하고 개나리, 벚꽃도 활짝 피어 돗자리 들고 사람들이 많이 나왔네요.",0,16,"['날씨', '도', '폰근', '하고', '개나리', '벚꽃', '도', '활짝', '피어', '돗자리', '들다', '사람', '많이', '나오다']"
천호역에서 접근성도 좋고 한강뷰도 멋져요.,1,16,"['천호역', '접근성', '도', '좋다', '한강', '뷰', '도', '멋지다']"
"#광나루 한강공원(10/30)
-.사람이 많지 않고 조용히 산책하기 좋은 한강공원.
-.자전거도로와 인도가 구분되어 있음.
-.",0,17,"['#광나루', '한강', '공원', '10/30', '\r\n', '-.', '사람', '많다', '않다', '조용하다', '산책', '하다', '좋다', '한강', '공원', '\r\n', '-.', '자전거', '도로', '인도', '구분', '되어다', '\r\n', '-.']"
"데크길이 있어 잠실, 여의도쪽 한강공원가는 느낌이 조금 다름.
-.",1,17,"['데크', '길이', '잠실', '여의도', '쪽', '한강', '공', '원가', '는', '느낌', '다르다', '\r\n', '-.']"
