리뷰,rep,index,Processing
잔디 광장은 코로나로 인해 현재는 그늘막 등의 설치가 불가 했는데 팬데믹에서 좀 벗어나면 돗자리깔고 푸른하늘과 산들바람을 정말 시원하게 느낄 수 있겠습니다.,4,11,"['잔디', '광장', '은', '코로나', '인하다', '현재', '는', '그늘', '막', '설치', '불가', '하다', '팬데믹', '벗어나다', '돗자리', '깔다', '푸른', '하늘', '산들바람', '정말', '시원하다', '느끼다', '수']"
어서 그날이 오기를 고대합니다.,5,11,"['어서', '그날', '오기', '고대', '하다']"
제가 산책한 곳은 하늘공원 앞쪽  잔디 광장으로 주말이면 푸드트럭  공간도 따로 마련되어 있었습니다.,6,11,"['산책', '한', '곳', '은', '하늘', '공원', '앞쪽', '잔디', '광장', '주말', '이면', '푸드', '트럭', '공간', '도', '따로', '마련', '되어다']"
예전 이쪽 근방에서 야외 락 페스티벌 하던 기억이 있네요.,7,11,"['예전', '쪽', '근방', '야외', '락', '페스티벌', '하다', '기억']"
맑고 청아한 날 한번쯤 다녀오실 만한 곳 입니다.,8,11,"['맑다', '청아하다', '날', '한번', '쯤', '다녀오다', '만', '한', '곳', '이다']"
추천합니다.,9,11,"['추천', '하다']"
"억새풀축제 넘쳐나는 인파로 어쩔 수 없이 찾게된 난지한강공원 중앙에 넓은 잔디밭에 텐트 그늘막 설치 가능하고, 놀이터 농구장 풋살장 등이 있고, 자전거도로 따라 한강둘레길 정말 좋았다 코스모스길은 환상~~ 억새풀 축제 못 간게 하나도 아쉽지 않았다",0,12,"['억', '새', '풀', '축제', '넘치다', '인파', '어쩔', '수', '없이', '찾다', '되다', '난', '지', '한강', '공원', '중앙', '넓다', '잔디밭', '텐트', '그늘', '막', '설치', '가능하다', '놀이터', '농구장', '풋살', '장', '자전거', '도로', '따르다', '한강', '둘레길', '정말', '좋다', '코스모스', '길다', '환상', '~~', '억', '새', '풀', '축제', '못', '간', '게', '도', '아쉽다', '않다']"
다만 이젠 주차장 요금을 일요일에도 낸다는 것 쓰레기를 많이 버려서 관리가 안되서 그런지 ㅠㅠ 다둥이카드 50% 할인 됩니다~~♥,1,12,"['젠', '주차장', '요금', '일요일', '에도', '내다', '쓰레기', '많이', '버리다', '관리', '안되다', '그렇다', 'ㅠㅠ', '다', '둥이', '카드', '50%', '할인', '되다', '~~', '♥']"
썸데이페스티벌 보려고 다녀온건데 요즘 한강에 돗자리깔고 누워있기 너무 좋은날씨예요!!,0,13,"['썸데이', '페스티벌', '보다', '다녀오다', '요즘', '한강', '돗자리', '깔다', '눕다', '너무', '좋다', '날씨', '예요', '!!']"
주일을 맞아 가족과 방문했는데 마침 롹페스티벌도 하고있고 야구동호회에서 경기도 하고있고 주변 산책로엔 운동하러온 사람들과 쉬러온 사람들이 잘 어우러진 좋은곳 이더라구요,0,14,"['주일', '맞다', '가족', '방문', '하다', '마침', '롹', '페스티벌', '도', '하다', '야구', '동호회', '경기도', '하다', '주변', '산책로', '엔', '운동', '하다', '온', '사람', '쉬다', '온', '사람', '자다', '어우러지다', '좋다', '곳', '이다']"
