,지구,place_name,x,y
0,잠실,이랜드크루즈 잠실선착장,127.081829468005,37.5187294589179
1,강서,강서습지생태공원,126.81714580274,37.5860396654973
2,잠원,리버시티수상스키장,127.01896336742132,37.52879795536262
3,난지,난지국궁장,126.86360092657627,37.57424181315856
4,난지,난지캠핑장,126.872166235201,37.5699951008368
5,망원,서울함공원,126.897898134197,37.5531571120914
6,뚝섬,뚝섬한강공원 인공암벽,127.062411558666,37.5321914749097
7,광나루,한강드론공원,127.119321370969,37.5472160039314
8,양화,한강공원양화지구 야외씨름장,126.895196135134,37.5431032068477
9,이촌,차범근축구교실,126.96860440547235,37.5180778799694
10,반포,반포낭만달빛마켓,126.997633808127,37.5113118857526
11,여의도,여의도 월드나이트마켓,126.928706300305,37.5306475369695
