구분,위도,경도
광나루한강공원,37.5487859,127.1200384
잠실한강공원,37.5175896,127.0867236
뚝섬한강공원,37.5293507,127.0699562
잠원한강공원,37.5206865,127.0122724
반포한강공원,37.5106226,126.9959627
이촌한강공원,37.5169202,126.9717022
여의도한강공원,37.5267106,126.9347112
양화한강공원,37.5383005,126.902265
난지한강공원,37.5660148,126.8765181
망원한강공원,37.5553605,126.8949135
강서한강공원,37.5880848,126.8152348
