,지구,place_name,x,y
0,여의도,한강공원여의도3 개방화장실,126.939707835472,37.5233654618146
1,여의도,한강공원여의도14 개방화장실,126.92977883351942,37.53064187255261
2,여의도,2호매점 개방화장실,126.93351462198925,37.52676972795901
3,여의도,한강공원여의도6 개방화장실,126.9345049037845,37.527612717974
4,여의도,한강공원여의도2 개방화장실,126.9415428808806,37.52171034162495
5,여의도,한강공원여의도17 개방화장실,126.9229745582366,37.53311988861972
6,여의도,여의도한강공원 화장실4,126.92634256846,37.5321273322486
7,여의도,여의나루역 개방화장실,126.93284574537306,37.527080195163954
8,여의도,여의도한강공원 화장실,126.918492931831,37.5343134095333
9,여의도,한강공원여의도11 개방화장실,126.93145954198292,37.528704805877965
10,여의도,한강공원여의도9 개방화장실,126.93365989029364,37.526248129538686
11,여의도,여의도한강공원 화장실6,126.929561715338,37.5305327221021
12,여의도,한강공원여의도10 개방화장실,126.93145378475307,37.52881472472689
13,여의도,여의도한강공원 화장실3,126.922965507076,37.533119882716
14,여의도,한강공원여의도4 개방화장실,126.93752887557376,37.52493207337599
15,양화,양화 한강공원 물놀이장 개방화장실,126.892708514604,37.5450182986467
16,양화,한강공원양화2 개방화장실,126.900840858834,37.5392554079942
17,양화,한강공원양화3 개방화장실,126.89654010360093,37.54168892216567
18,양화,한강공원양화1 개방화장실,126.904012790069,37.5372019469522
19,양화,한강공원양화5 개방화장실,126.891674456835,37.5448786007483
20,양화,한강공원양화4 개방화장실,126.893502874699,37.5434314575718
21,양화,방문자안내센터-선유도공원 개방화장실,126.901764531561,37.5424168863542
22,양화,"선유도이야기관 1층, 2층 개방화장실",126.90104380359,37.5432271838902
23,양화,선유도공원 야외 개방화장실,126.898947507068,37.5437227600893
24,망원,한강공원망원6 개방화장실,126.907444391371,37.5464435344431
25,망원,한강공원망원7 개방화장실,126.90019255078668,37.5519607468462
26,망원,한강공원망원10 개방화장실,126.89553793171488,37.5552165297495
27,망원,망원한강공원 화장실5,126.900117819082,37.5519913175792
28,망원,한강공원망원11 개방화장실,126.894112815329,37.5562063572362
29,망원,한강공원망원8 개방화장실,126.897527055168,37.5538974106268
30,망원,망원한강공원 화장실2,126.897780063591,37.5534309132054
31,망원,한강공원망원9 개방화장실,126.89793035867874,37.55359322278631
32,잠원,한강공원잠원6 개방화장실,127.01591800282596,37.52431141485022
33,잠원,한강공원잠원4 개방화장실,127.02025728113318,37.52758228908444
34,잠원,한강공원잠원7 개방화장실,127.012075619221,37.5205006288157
35,잠원,한강공원잠원3 개방화장실,127.02080745384151,37.5288598139807
36,잠원,한강공원잠원5 개방화장실,127.01783255968788,37.526242890116045
37,광나루,천호대교 하부 개방화장실,127.1171120557833,37.54116350332041
38,광나루,성인 야구장 개방화장실,127.11405059783058,37.5384725110769
39,광나루,한강공원광나루8 개방화장실,127.118745124193,37.5427728590315
40,광나루,한강공원광나루2 개방화장실,127.1293128976196,37.56260172375673
41,광나루,한강공원광나루7 개방화장실,127.119668396876,37.5448559374849
42,광나루,한강공원광나루4 개방화장실,127.12324596779315,37.55350994809329
43,광나루,한강공원광나루3 개방화장실,127.124813765806,37.5571357155818
44,광나루,한강공원광나루10 개방화장실,127.11638813683766,37.54205350532671
45,광나루,한강공원 귀룽나무화장실,127.124733423114,37.5571430084603
46,광나루,자전거공원 개방화장실,127.1197105214522,37.54501627256367
47,광나루,한강공원광나루11 개방화장실,127.11272356300736,37.53709345341723
48,광나루,한강공원광나루6 개방화장실,127.11972533709331,37.54508203044988
49,광나루,한강공원광나루9 개방화장실,127.116079644314,37.5437810242173
50,잠실,한강고수부지공원 화장실,127.099363276266,37.5225506769961
51,잠실,만남의 광장 개방화장실,127.084403512694,37.5182699379986
52,잠실,한강공원잠실2 개방화장실,127.09543014738024,37.520026608276325
53,잠실,한강공원잠실9 개방화장실,127.074966566416,37.518688063069
54,잠실,한강공원잠실7 개방화장실,127.079163512893,37.5178789268982
55,잠실,한강공원잠실10 개방화장실,127.074557244313,37.518853205718
56,잠실,한강공원잠실6 개방화장실,127.081510517264,37.517727764012
57,잠실,한강공원잠실1 개방화장실,127.099363285825,37.5225578850067
58,잠실,한강공원잠실4 개방화장실,127.089583959245,37.5180030295441
59,잠실,한강공원잠실3 개방화장실,127.09357103512482,37.51958300037823
60,잠실,한강공원잠실5 개방화장실,127.084401212805,37.5182366025281
61,잠실,한강공원잠실8 개방화장실,127.076888287606,37.5185417662146
62,잠실,한강공원뚝섬2 개방화장실,127.08444420550028,37.52727722978621
63,이촌,이촌한강공원 화장실,126.972485904244,37.5168300571777
64,이촌,한강공원이촌15 개방화장실,126.9524719719464,37.5283087794786
65,이촌,한강공원이촌1 개방화장실,127.02423349804064,37.54399416764643
66,이촌,한강공원이촌3 개방화장실,127.00759799628314,37.52858479500233
67,이촌,한강공원이촌5 개방화장실,126.99335769907132,37.51894322497238
68,이촌,한강공원이촌14 개방화장실,126.960266876681,37.5217460558256
69,이촌,한강공원이촌2 개방화장실,127.01977212617344,37.541113602202856
70,이촌,한강공원이촌12 개방화장실,126.9655132412852,37.51983938008665
71,이촌,한강공원이촌8 개방화장실,126.977038027449,37.5156056649173
72,이촌,한강공원이촌13 개방화장실,126.96324702966582,37.52070996652336
73,이촌,한강공원이촌7 개방화장실,126.983635870867,37.5158230041691
74,이촌,한강공원이촌9 개방화장실,126.97249949656,37.5167796041455
75,이촌,한강공원이촌6 개방화장실,126.98724073538416,37.51619015708404
76,강서,한강공원강서1 개방화장실,126.85168801880812,37.57002430925797
