,축제명,기간,시간,참여,장소,더보기,시작일,종료일
45,나만의 한강호 경주대회 - 2023 한강페스티벌 여름축제,2023-08-19(토) ~ 2023-08-20(일),8:30~18:00 ,선착순예약(추가오픈) 8. 14. ~8. 16.,잠실나들목 앞 둔치,0,2023-08-19,2023-08-20
46,한강휴휴수영장 - 2023 한강페스티벌 여름축제,2023-08-05(토) ~ 2023-08-06(일),20:00~22:00 [예약마감],선착순예약(마감) 7.31. 14:00~8.2. 17:00,난지물놀이장 외,1,2023-08-05,2023-08-06
47,한강음악불꽃크루즈 - 2023 한강페스티벌 여름축제,2023-08-05(토) ~ 2023-08-12(토),8.5./8.12.(토) 18:00,"사전예약, 현장참여",아라김포여객터미널,0,2023-08-05,2023-08-12
48,한강무소음DJ파티 -2023 한강페스티벌 여름축제,2023-08-12(토) ~ 2023-08-13(일),19:00~22:00,"사전예약, 현장참여",여의도한강공원 마포대교 하부,0,2023-08-12,2023-08-13
49,한강나이트워크42K - 2023 한강페스티벌 여름축제,2023-08-05(토) ~ 2023-08-05(토),15:00~다음날 08:00 [예약마감] ,[예약마감] 선착순예약 2023.7.20.(목)~8.2.(수),여의도한강공원 녹음수광장,0,2023-08-05,2023-08-05
50,한강킹카누 물길여행 - 2023 한강페스티벌 여름축제,2023-08-04(금) ~ 2023-08-20(일),19:00~22:00,"사전예약, 잔여석 있을 시 현장참여",반포서래나루,0,2023-08-04,2023-08-20
51,레인보우브릿지 요트페스티벌 - 2023 한강페스티벌 여름축제,2023-08-04(금) ~ 2023-08-20(일),14:00~21:00 중 1시간,"사전예약, 현장접수 ",세빛섬 골든블루마리나 선착장,0,2023-08-04,2023-08-20
52,7979 서울러닝크루 제17주차 신청 <7.27. 반포한강공원>,2023-07-31(월) ~ 2023-08-03(목),신청 월요일 13시~ / 행사 목요일 19:00~21:00,사전신청 / 현장접수,반포한강공원 달빛광장,0,2023-07-31,2023-08-03
53,BTS 10주년 FESTA 불꽃축제,2023-06-17(토) ~ 2023-06-17(토),12:00~22:00 (불꽃축제 20:30~21:00),현장참여,여의도한강공원,0,2023-06-17,2023-06-17
54,2023년 서울시 농부의 시장 <뚝섬 행사>,2023-06-23(금) ~ 2023-06-24(토),10:00~16:00,현장참여,뚝섬유원지,0,2023-06-23,2023-06-24
